500	4000000	
67	30	Z
168	30	Z
193	25	A
393	64	A
90	20	A
328	27	Z
303	53	A
206	44	Z
398	11	Z
351	33	A
174	67	Z
288	24	Z
482	62	A
310	50	A
477	37	A
248	50	A
344	70	Z
340	17	Z
297	37	A
359	39	A
260	25	A
197	18	Z
166	47	Z
220	62	Z
133	64	A
356	14	A
453	28	Z
255	65	Z
334	38	A
223	60	A
244	69	A
229	65	A
204	67	A
347	40	Z
407	38	Z
499	17	Z
109	11	A
465	66	Z
111	13	Z
116	15	A
223	44	Z
78	54	Z
205	64	Z
500	43	Z
242	13	Z
337	27	Z
278	30	A
63	67	A
289	27	A
69	68	Z
329	17	Z
371	60	A
148	64	A
309	53	A
437	14	Z
159	53	Z
176	43	A
400	61	Z
281	47	A
472	52	A
328	33	A
204	27	A
66	54	Z
474	52	Z
163	28	Z
295	59	Z
361	34	A
159	43	Z
457	66	Z
370	58	A
153	51	A
197	54	Z
323	61	Z
51	31	Z
257	25	Z
414	43	Z
263	35	Z
481	16	A
471	63	Z
285	24	A
497	49	A
85	40	A
158	13	Z
362	21	A
430	13	A
54	59	Z
268	65	A
282	19	A
485	20	Z
436	43	A
165	47	A
137	59	A
142	58	A
127	21	A
388	35	Z
159	60	Z
286	26	A
499	66	Z
120	38	A
135	36	Z
464	59	A
495	47	Z
50	14	Z
163	22	Z
113	27	A
497	40	A
209	11	A
357	30	Z
103	52	Z
413	11	Z
227	68	Z
81	68	A
430	31	A
284	64	A
461	50	Z
137	67	A
68	30	Z
250	24	A
148	63	Z
491	20	Z
52	26	A
66	55	A
448	32	Z
245	56	A
438	66	A
291	65	A
422	63	Z
392	61	A
215	45	Z
80	51	A
398	67	A
215	45	Z
52	25	Z
403	53	A
412	32	Z
87	20	Z
73	52	A
280	30	Z
80	56	Z
453	49	A
339	53	A
255	66	Z
479	42	Z
412	18	Z
109	68	A
135	29	A
107	17	A
175	30	A
220	18	A
313	53	Z
341	69	A
413	68	Z
87	16	A
411	13	Z
85	31	Z
334	48	A
73	63	Z
224	39	Z
237	19	A
103	27	Z
56	54	Z
77	39	A
58	23	A
121	14	Z
180	19	A
213	68	A
82	45	A
399	36	A
268	35	Z
144	25	A
107	38	A
353	35	Z
152	55	A
280	52	Z
316	31	A
